dataset,algo,auc,selected_by,threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
23_mammography,elliptic,0.7136136280873123,youden,220.0648233809632,157.0,1209.0,14.0,975.0,0.9181286549707602,0.5535714285714286,0.1149341142020497,0.9181286549707602,0.2042940793754066
23_mammography_by_fpr,elliptic,0.7136136280873123,youden,,,,,,,,,,
23_mammography_by_threshold,elliptic,0.7136136280873123,youden,,,,,,,,,,
24_mnist,elliptic,0.8951847669238974,youden,39314.3500047974,413.0,287.0,49.0,1093.0,0.8939393939393939,0.2079710144927536,0.59,0.8939393939393939,0.7108433734939759
24_mnist_by_fpr,elliptic,0.8951847669238974,youden,,,,,,,,,,
24_mnist_by_threshold,elliptic,0.8951847669238974,youden,,,,,,,,,,
25_musk,elliptic,0.9990250843170321,youden,-5826.5193828949305,64.0,11.0,0.0,582.0,1.0,0.0185497470489038,0.8533333333333334,1.0,0.920863309352518
25_musk_by_fpr,elliptic,0.9990250843170321,youden,,,,,,,,,,
25_musk_by_threshold,elliptic,0.9990250843170321,youden,,,,,,,,,,
2_annthyroid,elliptic,0.9088884437018345,youden,37.368008276745385,349.0,388.0,3.0,945.0,0.9914772727272728,0.291072768192048,0.4735413839891452,0.9914772727272728,0.6409550045913682
2_annthyroid_by_fpr,elliptic,0.9088884437018345,youden,,,,,,,,,,
2_annthyroid_by_threshold,elliptic,0.9088884437018345,youden,,,,,,,,,,
4_breastw,elliptic,0.9880573248407644,youden,-936.3755270631838,149.0,2.0,8.0,86.0,0.9490445859872612,0.0227272727272727,0.9867549668874172,0.9490445859872612,0.9675324675324676
4_breastw_by_fpr,elliptic,0.9880573248407644,youden,,,,,,,,,,
4_breastw_by_threshold,elliptic,0.9880573248407644,youden,,,,,,,,,,
5_campaign,elliptic,0.7918733638967161,youden,2543.221715031128,2281.0,2136.0,781.0,5173.0,0.7449379490529066,0.2922424408263784,0.5164138555580711,0.7449379490529066,0.6099745955341622
5_campaign_by_fpr,elliptic,0.7918733638967161,youden,,,,,,,,,,
5_campaign_by_threshold,elliptic,0.7918733638967161,youden,,,,,,,,,,
6_cardio,elliptic,0.842405458901969,youden,135.16004470521574,104.0,122.0,12.0,209.0,0.896551724137931,0.3685800604229607,0.4601769911504424,0.896551724137931,0.6081871345029239
6_cardio_by_fpr,elliptic,0.842405458901969,youden,,,,,,,,,,
6_cardio_by_threshold,elliptic,0.842405458901969,youden,,,,,,,,,,
7_Cardiotocography,elliptic,0.6576636337534528,youden,179.42724727795215,248.0,183.0,59.0,146.0,0.8078175895765473,0.5562310030395137,0.5754060324825986,0.8078175895765473,0.6720867208672087
7_Cardiotocography_by_fpr,elliptic,0.6576636337534528,youden,,,,,,,,,,
7_Cardiotocography_by_threshold,elliptic,0.6576636337534528,youden,,,,,,,,,,
8_celeba,elliptic,0.8607644796681002,youden,44.92972112684302,2421.0,8139.0,580.0,31471.0,0.8067310896367877,0.2054784145417823,0.2292613636363636,0.8067310896367877,0.3570533146523118
8_celeba_by_fpr,elliptic,0.8607644796681002,youden,,,,,,,,,,
8_celeba_by_threshold,elliptic,0.8607644796681002,youden,,,,,,,,,,
